,ID,Provider,AddressLine1,AddressLine2,City,State,PostalCode,Phone1_Type,Phone1_Number,Phone2_Type,Phone2_Number,FaxNumber,WebsiteUrl,EmailAddress,ContactName,ContactBusinessTitle,HOUSING,COMMUNITY SUPPORT & HEALTH SERVICES,OUTDOOR SPACES AND BUILDINGS,RESPECT AND SOCIAL INCLUSION,TRANSPORT,CIVIC PARTICIPATION & EMPLOYMENT,COMMUNICATION & INFORMATION,SOCIAL PARTICIPATION,Elderly and Disabled,Assisted Living,Independent Living,Bridge to Independence,Traumatic Brain Injury / Spinal Cord Injury,Intellectual Disability / Developmental Disability,Private Pay: Credit,Private Pay: Cash,Other,Private Insurance,Medicare,Medicaid,Private Pay: Check
10,11,Aaron E Henry Community Health Center-Clarksdale Clinic*,800 Ohio Street,,Clarksdale,MS,38614,Main,6626242504,,,(662) 627-3629,www.aehchc.org,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
11,12,AARP Mississippi State Office,141 Township Avenue #302,,Ridgeland,MS,39157,Toll Free Hotline,8665545382,Contact Person,6018985417,(601) 898-5429,https://states.aarp.org/mississippi/?migration=rdrct&migration=rdrct,msaarp@aarp.org,Ronda Gooden,,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False
12,13,ABC Orthotics and Prosthetics,805 Downtowner Loop West,,Mobile,AL,36609,Main,2513163160,,,(251) 316-6950,https://www.abcop.org/,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
13,14,Aberdeen Eye Clinic*,114 N. Hickory Street,,Aberdeen,MS,39730,Main,6623692444,,,(662) 369-7223,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
14,15,Aberdeen Senior Citizens Center,611 High Street,,Aberdeen,MS,39730,Main,6623692782,,,,,adamseoc@adamscountyms.gov,,x,False,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False
15,16,Ability Works*- MS Department of Rehab Services,365 West Reed Road,,Greenville,MS,38701,Main,6623355216,,,,www.mdrs.ms.gov/AbilityWorks,,Larry Kaplan,Branch Manager,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False
16,17,Ability Works- MS Department of Rehab Services,8480 West Sandridge,,Olive Branch,MS,38654,Main,6628954363,,,,www.mdrs.ms.gov/AbilityWorks,,,,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
17,18,Ability Works- MS Department of Rehab Services,51 County Road 166,,Oxford,MS,38655,Main,6622340857,,,,www.mdrs.ms.gov/AbilityWorks,,,,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False
18,19,Ability Works- MS Department of Rehab Services,2503 Browning Road,,Greenwood,MS,38930,Main,6624537500,,,,www.mdrs.ms.gov/AbilityWorks,,,,False,True,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False
19,20,Acadian Ambulance Services,2204 Old Mobile Avenue,,Pascagoula,MS,39567,Main,2287620239,,,(228) 762-4360,www.acadian.com,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
20,21,AccessFamily Health Services*,12725 Highway 23 North,,Tremont,MS,38876,Main,6626523361,,,,https://www.accessfamilyhealth.com/locations/tremont/,,Carissa Searcy,Nurse Practioner,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,22,Access Family Health Services *,"499 Gloster Creek Village, Suite D1",,Tupelo,MS,38801,Main,6626514637,Main,6626908007,,https://www.accessfamilyhealth.com/locations/tupelo/,,,,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,True
22,23,Access Family Health Services*,106 Walker Street,,Houlka,MS,38850,Main,6625683316,,,,https://www.accessfamilyhealth.com/index.php,,Dorthia Walters,Certified Nurse Practioner,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23,24,Accredo Health Group Incorporated,201 Great Circle Road,,Nashville,TN,37228,Main,8008006606,,,,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,True
24,25,Acme Medical Supply LLC,1804 25th Avenue,,Gulfport,MS,39501,Main,2282063639,,,,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True
25,26,Active Life,3407 Shamrock Court,,Gautier,MS,39553,Main,2284970690,,,(228) 497-0794,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
26,27,"Acusphere, Incorporated",2 Canal Pass,,Cambridge,MA,02141,Main,6176488808,Other,9788639993,,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
27,28,Advanced Diabetic Solutions,937 Arbor Station Drive,,Long Beach,MS,39560,Main,2282062460,Contact Person,8502917251,,www.advanceddiabeticsolutions.net,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
28,29,Advanced Medical Services,830 South Mason Road B1,,Katy,TX,77450,Main,2813925400,,,(281) 392-5755,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
29,30,Advanced Medical Systems,12257-A Ashley Drive,,Gulfport,MS,39503,Main,2288310430,Toll Free Hotline,8009983077,,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
30,31,Advanced Orthotic and Prosthetic,434 South 13th Avenue,,Laurel,MS,39440,Main,6016718505,,,,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
31,32,Advanced Prosthetic and Orthotic,584 North Germantown Parkway,Suite 110,Cordova,TN,38018,Main,6628460059,,,(901) 795-1738,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
32,33,Advanced Rehabilitation*,702 Highway US- 82 West,Suite B,Greenwood,MS,38967,Main,6624555010,Other,6624555468,(662) 455-5468,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
33,34,Advantage Medical*,6375 Highway 98,Suite 40,Hattiesburg,MS,39402,Main,6012681422,,,(601) 602-8231,,courtney@advantagepharmacyrx.com,Courtney Davis,Respiratory Therapist/Assistant Manager,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
34,35,Advantage Nursing Services,2304 19th Street #101,,Gulfport,MS,39501,Main,6012681422,,,,www.advantagenursing.com,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
35,36,Aerocare Home Medical Incorporated*,6102 Highway 98 West,Suite 8,Hattiesburg,MS,39402,Main,6012966811,,,(601) 296-9112,www.aerocareusa.com,harris.bambi@aerocareusa.com,Bambi Harris,CSR,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,True
36,37,A First Name Basis,"1675 Lakeland Drive, Suite 203",Faculty Office,Jackson,MS,39216,Main,6012966811,,,(601) 345-8571,www.AFirstNameBasis.com,lashundra@afirstnamebasis.com,LaShaundra Anderson,Mississippi Area Manager,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,True,True
37,38,A First Name Basis,"333 North Main Street, Suite D",,Yazoo City,MS,39194,Main,6628400062,Toll Free Hotline,8775575525,(225) 810-4559,https://afirstnamebasis.com/,,,,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,False,True,True
38,39,"Agape Adult Day Services & Recreational Center, LLC",141 Sunset Loop,,Grenada,MS,38901,Main,6623072584,Main,6628095683,,,,Elizabeth Woods,Owner,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False
39,40,"Agape Senior Living, Inc",218 South Thomas Street,,Tupelo,MS,38801,Main,6623224636,Toll Free Hotline,8004112427,(662) 840-3311,www.agapesl.com,info@agapesl.com,Kenneth Long,President,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False
40,41,Airpark Family Medical Clinic*,1056 Holland Avenue,,Philadelphia,MS,39350,Main,6016568545,,,(601) 656-3985,www.jarmc.org,ksmclelland@andersonregional.org,Kevin McClelland,Office Manager,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
41,42,Alcohol and Drug Treatment Center-24 hour hotline *,Call for Information,,Meridian,MS,39301,Main,6014824492,,,,,,,,False,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True
42,43,Alcoholics Anonymous,3753 19th Street,,Meridian,MS,39301,Main,6014822498,,,,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
43,44,Alcorn County Human Resources Agency*,1300 Washington Street,Post Office Box 1140,Corinth,MS,38835,Main,6622867749,,,,,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,False,False,False
44,45,Aldersgate Retirement Community*,6600 Poplar Springs Drive,,Meridian,MS,39305,Main,6014859484,Other,6014825561,(601) 482-5567,www.mss.org/aldersgate/,,,,False,False,False,True,False,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,True
45,46,Alert FM-Global Security Systems,308 East Pearl Street,Suite 202,Jackson,MS,39201,Main,6017094240,Toll Free Hotline,8668695180,,www.alertfm.com,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
46,47,Alexander Milne Home for Women,616 East 19th Street,,Laurel,MS,39440,Main,6013990700,,,(601) 399-0603,www.milnegh.com,info@milnehome.com,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
47,48,Alexanders Home Health*,767-811 Mississippi 32,,Houlka,MS,38850,Main,6624562597,,,,www.mississippidirectory.co/.../houston/.../alexander-s-home-health,,,,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
48,49,Alexander Waites Elderly Housing,4435 Medgar Evers Boulevard,,Jackson,MS,39213,Main,6013645107,,,(601) 362-5750,https://affordablehousingonline.com/housing-search/Mississippi/Jackson/Alexander-Waites-Elderly-Housing/10014717,,,,True,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
49,50,All American Medical Supplies,641 East Venice Avenue,,Venice,FL,34285,Main,8669843047,,,,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
50,51,Allegiance Specialty Hospital,"300 South Washington Avenue, Floor 3",,Greenville,MS,38701,Other,6623327344,,,(662) 332-7925,https://greenvilleash.com/,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
51,52,Alliance of Genetic Support Group,4301 Connecticut Avenue,Suite 404,Washington,DC,20008-2369,Main,2029665557,Other,2029668553,,www.geneticalliance.org,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
52,53,All Mississippi Hearing/Byram,"5560 I-55 South, Suite A",,Byram,MS,39272,Main,6013734383,,,(601) 373-9445,www.allmshearing.com/,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
53,54,Allred's Pharmacies,214 West Gallatin Street,,Hazlehurst,MS,39083,Main,6018943571,,,(601) 894-3777,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False
54,55,All Saints Episcopal Church*,608 West Jefferson Street,,Tupelo,MS,38804,Main,6628420204,Other,6628424386,,https://allsaintstupelo.org/,welcome@allsaintstupelo.org,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
55,56,All States Medical Supply*,221 Old Hendersonville Road,Suite A,Fletcher,NC,28732,Main,8286518297,,,,https://allstatesmedical.com,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
56,57,Alpha & Omega Personal Care Home,131 South Prentiss Street,,Jackson,MS,39203,Toll Free Hotline,8775236523,Main,6013540783,,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
57,58,ALS Association of Mississippi,"11725 Industriplex Boulevard, Suite 4",Post Office Box 66825,Baton Rouge,LA,70809,Main,6019921825,,,,webla.alsa.org/,adamseoc@adamscountyms.gov,,,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False
58,59,"Alzheimer's Mississippi, Inc.",855 South Pear Orchard Road,Suite 501,Ridgeland,MS,39157,Main,6019870020,Toll Free Hotline,8776306190,(844) 587-9159,www.alzms.org,,,,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False
59,60,Ambulatory Equipment Services*,526c Deerfield Dr,,Forest,MS,39074,Main,6014693310,,,(601) 469-3333,,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
60,61,"Amedeo Home Care Services, LLC",Suite 5,,Vicksburg,MS,39180,Main,6012186380,,,,amedeohomecare.com,asiamone712@yahoo.com,Catina Wilson,,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,False,True
61,62,Amedisys Home Health - Biloxi*,152 Gateway Drive,,Biloxi,MS,39531,Main,2283884144,,,,amedisys.com,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
62,63,Amedisys Home Health Care - Biloxi*,925 Tommy Munro Drive,Suite K,Biloxi,MS,39532,Main,2283884144,Toll Free Hotline,8002735212,(228) 385-7704,www.amedisys.com,,Pamela Shaw,Business Office Manager,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
63,64,Amedisys Home Health Care - Collins*,18 Melody Lane,,Collins,MS,39428,Main,6017658316,Toll Free Hotline,8668735734,(601) 765-8298,www.amedisys.com,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
64,65,Amedisys Home Health Care - Hattiesburg*,"132 Mayfair Road, Suite 1",,Hattiesburg,MS,39402,Main,6012969710,Toll Free Hotline,8664012904,(601) 296-9688,www.amedisys.com,,Michelle Johnson,Director of Operations,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
65,66,Amedisys Home Health Care - Pascagoula*,4211 Hospital Street,Suite 309,Pascagoula,MS,39581,Main,2286960336,After Hours,8665110336,(228) 696-0298,www.amedisys.com,,Brandy Green,Director,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
66,67,Amedisys Home Health Care - Picayune*,509 Highway 11 North,Suite B,Picayune,MS,39466,Main,6017992626,Toll Free Hotline,8669100353,(601) 799-0839,www.amedisys.com,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
67,68,Amedisys Home Health Care/Meridian*,"2900 North Hills Street, Suite A",,Meridian,MS,39305,Main,6017992626,Toll Free Hotline,8669100353,(601) 484-3133,www.amedisys.com,,Robin Winstead,Director,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
68,69,American Medical Response*,12020 Intraplex Parkway,,Gulfport,MS,39503,Main,2288971196,,,,www.amer-corp.com,,,,False,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,True
69,70,"American Medical Supplies, Inc.",3300 Southwest 15th Street,,Deerfield,FL,33442,Main,5613627105,,,(601) 321-1201,,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True
70,71,American Medical Technologies,17595 Cartwright Road,,Irvine,CA,92614,Main,7145560200,,,(601) 321-1201,,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True
71,72,American Medical Transportation,3026 Scheibler Road,,Memphis,TN,38128,Main,9013710590,,,(662) 624-4354,,adamseoc@adamscountyms.gov,,,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
72,73,"American Quality Healthcare, Incorporated",920 Fredrika Street,Suite 106,Owensboro,KY,42301,Main,2706840005,,,,,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True
73,74,American Red Cross Southeast Chapter - Meridian*,"1815 Highway 39 North, Suite C",,Meridian,MS,39301,Main,6014855151,,,(601) 485-1084,www.redcross.org/local/al-ms/about-us/locations/southeast-mississippi.html,angie.grajeda@redcross.org,Angie Grajeda,Disaster Program Manager,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
74,75,American Regent,Post Office Box 9001,,Shirley,NY,11967,Main,6319241731,Other,6319244000,,http://www.americanregent.com/,adamseoc@adamscountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
75,76,Ancor Adult Daycare Center,615 Desoto Avenue,,Clarksdale,MS,38614,Main,6626275317,,,,,,Bertrand Antoine,CEO/Principal,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
76,77,Ancor Adult Day Care Center,103 West Gay Street,,Charleston,MS,38921,Main,6626473880,,,,,wecareadult@att.net,Bertrand Antoine,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
77,78,Ancor Adult Day Care Center*,814 Hancock Street,,Tutwiler,MS,38963,Main,6624532481,Other,6623450222,,,wecareadult@att.net,,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
78,79,Anderson Regional Cancer Center,1704 23rd Avenue,,Meridian,MS,39301,Main,6014855081,,,,,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True
79,80,Anderson Regional Medical Center*,2124 14th Street,,Meridian,MS,39301,Main,6015536000,,,,,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True
80,81,Anderson Regional Medical Center-South Campus*,1102 Constitution Avenue,,Meridian,MS,39301,Main,6014843590,,,,,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True
81,82,Angel Adult Center,513 East Walnut Street,,Ripley,MS,38663,Main,6625121502,,,,,rtaylor@amitecountyms.gov,,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
82,83,Angel Adult Center II,8869 Highway 51 South,,Courtland,MS,38620,Main,6625619797,,,(662) 561-9793,,jbflint.angel@gmail.com,Janet Flint,Director,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,True
83,84,Angel Homemaker Services*,200 Glassco Street,,Cleveland,MS,38732,Main,6628433785,Contact Person,6623473785,,,,Nora Pegeus,Member,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True
84,85,Angel Keeper Adult Day Care,812 B Highway 82 East,,Leland,MS,38756,Main,6627715166,,,,,,Viola McCaskill,,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
85,86,Angels at Home LLC*,4887 Marianna Road,,Holly Springs,MS,38635,Main,9012709825,,,,,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
86,87,Anguilla Family Apartments*,224 Robbins Street,,Rolling Fork,MS,39159,Main,6628739300,,,,,rtaylor@amitecountyms.gov,,,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False
87,88,"Animas Diabetes Care, LLC",965 Chesterbrook Boulevard,,Wayne,PA,19087,Main,8779377867,,,,,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
88,89,"AN IV, LLC",4565 Shelby Road,,Millington,TN,38053,Main,9018722648,,,,,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
89,90,Anointed Personal Care and Respite Services,3800 Yarbro St Apt 305,,Jackson,MS,39204,Main,6016659008,,,(601) 345-8379,,,Pamela McLin,Director,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
90,91,APELAH,2022 Oak Tree Cove,,Hernando,MS,38632,Main,6624293652,,,,Apelah.org,,,,False,True,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,True,True,True
91,92,"APM Providers, Inc.",1823 3rd Street North,,Jax Beach,FL,32250,Main,9042415310,,,,http://newrelic.com/,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True
92,93,"Apria Healthcare, Incorporated*",198 Pass Road,,Biloxi,MS,39531,Main,9042415310,,,,www.apria.com,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True
93,94,Apria Healthcare Inc.,701 Technology Drive,,Canonsburg,PA,15317,Main,2283852200,,,,https://www.apria.com/,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True
94,95,Apria Healthcare Incorporated*,1794 Cliff Gookin Boulevard,,Tupelo,MS,38801,Main,6628422116,,,,https://www.apria.com/,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True
95,96,"Arcadia Health Services, Inc.",6061 Stage Road,Suite 7,Bartlett,TN,38134,Main,9014585887,,,,http://www.arcadiahomecare.com/,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
96,97,Archangels Home Health and Hospice*,4573 Highway 15 North,,Laurel,MS,39443,Main,6016499321,,,,,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
97,98,Arc of Mississippi Gautier*,4101G Vancleve Road 103,,Gautier,MS,39553,Main,2284971044,Toll Free Hotline,8007171180,(601) 982-5792,www.arcms.org,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
98,99,Arc of Mississippi Harrison County*,3109 Gulf Avenue,Post Office Box 6651,Gulfport,MS,39501,Main,2284971044,Toll Free Hotline,8007171180,(601) 982-5792,"www.arcms.org,",rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
99,100,Arc of Mississippi Jones County*,138 Wisteria Train,Post Office Box 12033,Laurel,MS,39441,Main,6014262944,Toll Free Hotline,8007171180,,www.arcms.org,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
100,101,Arc of Mississippi Pearl River County*,Post Office Box 1816,,Picayune,MS,39466,Main,8007171180,,,,www.arcms.org,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
101,102,Arc of Mississippi Southeast Area*,65 Bonhomie Road,,Hattiesburg,MS,39401,Main,6015834251,Toll Free Hotline,8007171180,(601) 982-5792,www.arcms.org,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
102,103,Arc of Mississippi West Jackson*,7009 Redbud Lane,,Ocean Springs,MS,39564,Main,2288180592,Toll Free Hotline,8007171180,,www.arcms.org,rtaylor@amitecountyms.gov,,,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
103,104,Arenia C. Mallory Community Health Center*,17820 Highway 17 South,,Lexington,MS,39095,Main,6628341857,,,,www.mallorychc.org,,,,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False
104,105,Armed Forces Retirement Home*,1800 Beach Boulevard,,Gulfport,MS,39507,Main,8004229988,,,,www.afrh.gov,rtaylor@amitecountyms.gov,,,True,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False
105,106,Arrington At Plantation Pointe,234 Windsor Boulevard,,Columbus,MS,39702,Main,6622410001,,,(662) 241-0091,,,Misty Holder,Admissions Director,True,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,True
